R	53.3334	-6.40628	A406	06 Oct 2022	A406\n15:30 - Dublin Heuston to Limerick (0 mins late)\nDeparted Clondalkin next stop Kildare	To Limerick
R	53.3334	-6.40628	D210	06 Oct 2022	D210\n15:25 - Dublin Heuston to Portlaoise (0 mins late)\nDeparted Clondalkin next stop Adamstown	To Portlaoise
R	53.3345	-6.43038	P213	06 Oct 2022	P213\n14:28 - Portlaoise to Dublin Heuston (11 mins late)\nDeparted Kishogue next stop Clondalkin	To Dublin Heuston
R	53.3433	-6.24829	E119	06 Oct 2022	E119\n15:00 - Howth to Greystones (6 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.3433	-6.24829	E928	06 Oct 2022	E928\n14:55 - Bray to Howth (0 mins late)\nArrived Dublin Pearse next stop Tara Street	Northbound
R	53.3509	-6.23929	D310	06 Oct 2022	D310\n15:55 - Docklands to M3 Parkway (-38 mins late)\nDeparted Docklands next stop Broombridge	Northbound
R	53.3531	-6.24591	E238	06 Oct 2022	E238\n15:10 - Malahide to Bray (1 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.373	-6.20442	E239	06 Oct 2022	E239\n15:20 - Howth to Bray (0 mins late)\nArrived Killester next stop Clontarf Road	Southbound
R	53.3755	-6.33135	D920	06 Oct 2022	D920\n15:12 - Dublin Pearse to Maynooth (2 mins late)\nDeparted Ashtown next stop Navan Road Parkway	Northbound
R	53.3755	-6.33135	P749	06 Oct 2022	P749\n15:07 - Maynooth to Dublin Connolly (1 mins late)\nArrived Ashtown next stop Pelletstown	Southbound
R	53.378	-6.58993	A908	06 Oct 2022	A908\n15:00 - Dublin Connolly to Sligo (2 mins late)\nArrived Maynooth next stop Kilcock	Northbound
R	53.3786	-6.19131	E927	06 Oct 2022	E927\n14:35 - Bray to Howth (2 mins late)\nDeparted Harmonstown next stop Raheny	Northbound
R	53.387	-6.16163	P615	06 Oct 2022	P615\n14:50 - Drogheda to Bray (1 mins late)\nDeparted Kilbarrack next stop Dublin Connolly	Southbound
R	53.3909	-6.15672	D813	06 Oct 2022	D813\n15:23 - Dublin Connolly to Drogheda (2 mins late)\nDeparted Howth Junction next stop Malahide	Northbound
R	53.4032	-6.14839	E826	06 Oct 2022	E826\n14:25 - Bray to Malahide (3 mins late)\nArrived Clongriffin next stop Portmarnock	Northbound
R	53.4157	-6.83395	A909	06 Oct 2022	A909\n13:05 - Sligo to Dublin Connolly (7 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4169	-6.1512	A130	06 Oct 2022	A130\n15:20 - Dublin Connolly to Belfast (4 mins late)\nArrived Portmarnock next stop Drogheda	Northbound
R	53.4169	-6.1512	E120	06 Oct 2022	E120\n15:31 - Malahide to Greystones (1 mins late)\nDeparted Portmarnock next stop Clongriffin	Southbound
R	53.4349	-6.46898	P318	06 Oct 2022	P318\n15:35 - M3 Parkway to Docklands (2 mins late)\nDeparted M3 Parkway next stop Dunboyne	Southbound
R	53.5201	-6.1439	P616	06 Oct 2022	P616\n15:10 - Drogheda to Dublin Pearse (-1 mins late)\nDeparted Rush and Lusk next stop Donabate	Southbound
R	53.6794	-6.24253	D812	06 Oct 2022	D812\n14:50 - Dublin Connolly to Drogheda (1 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.9383	-8.10657	A906	06 Oct 2022	A906\n13:00 - Dublin Connolly to Sligo (8 mins late)\nDeparted Carrick on Shannon next stop Boyle	Northbound
R	54.0007	-6.41291	A128	06 Oct 2022	A128\n13:20 - Dublin Connolly to Belfast (2 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A129	06 Oct 2022	A129\n14:05 - Belfast to Dublin Connolly (1 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A911	06 Oct 2022	A911\n15:05 - Sligo to Dublin Connolly (3 mins late)\nDeparted Ballymote next stop Boyle	Southbound
T	53.0371	-7.30086	D209	06 Oct 2022	D209\n14:15 - Dublin Heuston to Portlaoise(1 mins late)\nTERMINATED Portlaoise at 15:28	To Portlaoise
T	53.1442	-6.06085	E117	06 Oct 2022	E117\n14:00 - Howth to Greystones(3 mins late)\nTERMINATED Greystones at 15:28	Southbound
T	53.3433	-6.24829	P667	06 Oct 2022	P667\n14:37 - Maynooth to Dublin Pearse(4 mins late)\nTERMINATED Dublin Pearse at 15:33	Southbound
T	53.378	-6.58993	D919	06 Oct 2022	D919\n14:46 - Dublin Connolly to Maynooth(0 mins late)\nTERMINATED Maynooth at 15:30	Northbound
T	53.3891	-6.07401	E926	06 Oct 2022	E926\n14:04 - Greystones to Howth(6 mins late)\nTERMINATED Howth at 15:35	Northbound
T	53.4349	-6.46898	D309	06 Oct 2022	D309\n15:18 - Clonsilla to M3 Parkway(3 mins late)\nTERMINATED M3 Parkway at 15:33	Northbound
